location_see_also_uris,children,alternate_location_names,elevation,rank_at_foundation,parent,place_see_also_uris,dedication,location_category,earliest_attestation_label,earliest_attestation_max_year,english_place_name,place_references,founders,type,italian_place_name,longitude,comune,place_category,notes,attestation_types,record_status,reign_of_earliest_attestation_label,latitude,order,positional_accuracy_assesment,seismic_class_id,gender,earliest_attestation_min_year,historical_province,archaeological_remains,province
http://www.geonames.org/maps/google_38.464_14.953.html,,Garirat-Libara (unknown)|Lipara (unknown),21.0,Abbey,"Direct Subject of the Holy See. As of September 14, 1131, Archbishopric of Messina-Troina.",,Saint Bartholomew,representative,1088,1088,Saint Bartholomew of Lipari,"White, Lynn. Latin Monasticism in Norman Sicily. Cambridge, Mass. :: Mediaeval Academy of America Ann Arbor, Michigan: MPublishing, University of Michigan Library, 1938. http://hdl.handle.net/2027/heb.30929. pp. 77-100",Duke Robert Guiscard (Male),monastery,San Bartolomeo di Lipari,14.9573575,Lipari,abbey,"This monastery was made a bishopric on September 14, 1131 by Antipope Anacletus II; in 1139, it was reduced to its previous status. Its abbot is called called ""electus"" in Sicily after September 1156, but was not consecrated bishop until late 1166. According to White, _Latin Monasticism_, traces of the exterior apse remain.","documentary, archaeological",draft,Norman Conquest of Sicily,38.4667512,Benedictine,google_earth,2,Male,1088,Val Demone,unknown,Messina
http://www.geonames.org/maps/google_38.147_14.97.html,,Baqt.s (unknown)|Pactes (unknown),0.0,Abbey,"Direct Subject of the Holy See. As of September 14, 1131, Archbishopric of Messina-Troina.",,Christ,associated_modern,1094,1094,Christ the Savior of Patti,"White, Lynn. Latin Monasticism in Norman Sicily. Cambridge, Mass. :: Mediaeval Academy of America Ann Arbor, Michigan: MPublishing, University of Michigan Library, 1938. http://hdl.handle.net/2027/heb.30929. pp. 77-100",Count Roger I (Male),monastery,Santissimo Salvatore di Patti,14.964094,Patti,abbey,"This monastery was made a bishopric on September 14, 1131 by Antipope Anacletus II; in 1139, it was reduced to its previous status. Its abbot is called called ""electus"" in Sicily after September 1156, but was not consecrated bishop until late 1166. According to White, _Latin Monasticism_, traces of the exterior apse remain.",documentary,draft,Reign of Count Roger I,38.139876,Benedictine,unknown,2,Male,1094,Val Demone,unknown,Messina
http://www.geonames.org/maps/google_37.933_13.665.html,,Caccabo (unknown)|K.k.b.sc (unknown)|Qaqabus (unknown)|Calces (unknown)|Caccabum (unknown),0.0,Priory,Abbey of Saint Bartholomew of Lipari/Saint Savior of Patti,,the Virgin Mary,associated_modern,1098,1098,Saint Mary of Caccamo,"White, Lynn. Latin Monasticism in Norman Sicily. Cambridge, Mass. :: Mediaeval Academy of America Ann Arbor, Michigan: MPublishing, University of Michigan Library, 1938. http://hdl.handle.net/2027/heb.30929. pp. 100",Count Robert Mandaguerra (Male),monastery,Santa Maria di Caccamo,13.663505,Caccamo,priory,,documentary,draft,Reign of Count Roger I,37.936117,Benedictine,unknown,2,Male,1098,Val di Mazara,unknown,Palermo
http://www.geonames.org/maps/google_37.125_14.85.html,,Baccaratum (unknown)|Broccatus (unknown)|Manzil-Bukìr (unknown)|Buccherie (unknown)|Castrum Buccherii (unknown),0.0,Priory,Saint Bartholomew of Lipari/Saint Savior of Patti,,the Holy Cross,associated_modern,1134,1134,Holy Cross of Buccheri,"White, Lynn. Latin Monasticism in Norman Sicily. Cambridge, Mass. :: Mediaeval Academy of America Ann Arbor, Michigan: MPublishing, University of Michigan Library, 1938. http://hdl.handle.net/2027/heb.30929. pp. 101",,monastery,Santa Croce di Buccheri,14.8512177,Buccheri,priory,,documentary,draft,Reign of King Roger II,37.1270741,Benedictine,unknown,2,Male,1134,Val di Noto,unknown,Syracuse
http://www.geonames.org/maps/google_37.161_14.75.html,,Bizinus (unknown)|Bizino (unknown)|Bidis (unknown)|Bizînî (unknown)|Bizinas (unknown)|Turris Bizini (unknown),0.0,Priory,Abbey of Saint Bartholomew of Lipari/Saint Savior of Patti,,Saint John,associated_modern,1134,1134,Saint John of Vizzini,"White, Lynn. Latin Monasticism in Norman Sicily. Cambridge, Mass. :: Mediaeval Academy of America Ann Arbor, Michigan: MPublishing, University of Michigan Library, 1938. http://hdl.handle.net/2027/heb.30929. pp. 101",,monastery,San Giovanni di Vizzini,14.753695,Vizzini,priory,,documentary,draft,Reign of King Roger II,37.162151,Benedictine,unknown,2,Male,1134,Val di Noto,unknown,Catania
http://www.geonames.org/maps/google_37.824_13.566.html,,Biccari (unknown)|Bikû (unknown)|Boico (unknown)|Biccarum (unknown)|Castrum Biccari (unknown),0.0,Priory,Abbey of Saint Bartholomew of Lipari/Saint Savior of Patti,,Saint Sophia,associated_modern,1120,1120,Saint Sophia of Vicari,"Cusa, Salvatore, ed. I diplomi greci ed arabi di Sicilia pubblicati nel testo originale. Palermo: Stabilimento tip. Lao, 1868. pp. 4|White, Lynn. Latin Monasticism in Norman Sicily. Cambridge, Mass. :: Mediaeval Academy of America Ann Arbor, Michigan: MPublishing, University of Michigan Library, 1938. http://hdl.handle.net/2027/heb.30929. pp. 101-102",Robert of Milia (Male),monastery,Santa Sophia di Vicari,13.571007,Vicari,priory,,documentary,draft,Reign of Count Roger II,37.825702,Benedictine,unknown,2,Male,1120,Val di Mazara,unknown,Palermo
http://www.geonames.org/maps/google_37.984_14.236.html,,Tusia (unknown)|Tuz'ah (unknown)|Tosa (unknown)|Castrum Maritimae Tusae (unknown),0.0,Priory,Abbey of Saint Bartholomew of Lipari/Saint Savior of Patti,,the Virgin Mary,associated_modern,1123,1123,Saint Mary of Tusa,"White, Lynn. Latin Monasticism in Norman Sicily. Cambridge, Mass. :: Mediaeval Academy of America Ann Arbor, Michigan: MPublishing, University of Michigan Library, 1938. http://hdl.handle.net/2027/heb.30929. pp. 102-103",,monastery,Santa Maria di Tusa,14.2360416,Tusa,priory,"Pirri suggests that this house is the same as Saint Mary de Palatio, located two miles from Tusa.",documentary,draft,Reign of Count Roger II,37.9832076,Benedictine,unknown,2,Male,1123,Val Demone,unknown,Messina
http://www.geonames.org/maps/google_37.304_14.214.html,,Mazaranu (unknown)|Mazareno (unknown)|Casale Mazarini (unknown)|Mazareni (unknown),0.0,Priory,Abbey of Saint Bartholomew of Lipari/Saint Savior of Patti,,the Virgin Mary,associated_modern,1134,1134,Saint Mary of Mazzarino,"White, Lynn. Latin Monasticism in Norman Sicily. Cambridge, Mass. :: Mediaeval Academy of America Ann Arbor, Michigan: MPublishing, University of Michigan Library, 1938. http://hdl.handle.net/2027/heb.30929. pp. 103-104",,monastery,Santa Maria a Mazzarino,14.213745,Mazzarino,priory,,documentary,draft,Reign of King Roger II,37.304803,Benedictine,unknown,3,Male,1134,Val di Noto,unknown,Caltanissetta
http://www.geonames.org/maps/google_37.191_14.184.html,,Butheria (unknown)|Buthìr (unknown),0.0,Priory,Abbey of Saint Bartholomew of Lipari/Saint Savior of Patti,,the Virgin Mary,associated_modern,1125,1125,Saint Mary of Butera,"White, Lynn. Latin Monasticism in Norman Sicily. Cambridge, Mass. :: Mediaeval Academy of America Ann Arbor, Michigan: MPublishing, University of Michigan Library, 1938. http://hdl.handle.net/2027/heb.30929. pp. 103",,monastery,Santa Maria di Butera,14.1845535,Butera,priory,,documentary,draft,Reign of Count Roger II,37.1875953,Benedictine,unknown,3,Male,1125,Val di Noto,unknown,Caltanissetta
http://www.geonames.org/maps/google_37.927_14.357.html,,Mistrecta (unknown),0.0,Abbey,,,Saint Anastasia,associated_modern,1122,1122,Saint Anastasia in Mistretta,"Cusa, Salvatore, ed. I diplomi greci ed arabi di Sicilia pubblicati nel testo originale. Palermo: Stabilimento tip. Lao, 1868. pp. 413|White, Lynn. Latin Monasticism in Norman Sicily. Cambridge, Mass. :: Mediaeval Academy of America Ann Arbor, Michigan: MPublishing, University of Michigan Library, 1938. http://hdl.handle.net/2027/heb.30929. pp. 41",Matthew of Creun (Male),monastery,Sant'Anastasia di Mistretta,14.362704,Mistretta,abbey,,documentary,draft,Reign of Count Roger II,37.92746,Basilian,unknown,2,Male,1122,Val Demone,unknown,Messina
http://www.geonames.org/maps/google_37.817_13.583.html,,Bn.rm (unknown)|Balarm (unknown)|Balarmuh (unknown)|Bân.rm (unknown)|Panormus (unknown),0.0,Abbey,,,Saint Andrew,associated_modern,1187,1187,Saint Andrew of Bebene,"White, Lynn. Latin Monasticism in Norman Sicily. Cambridge, Mass. :: Mediaeval Academy of America Ann Arbor, Michigan: MPublishing, University of Michigan Library, 1938. http://hdl.handle.net/2027/heb.30929. pp. 41",,monastery,Sant'Andrea di Bebene,13.35814,Palermo,abbey,,documentary,draft,Reign of King William II,38.098661,Basilian,unknown,2,Male,1187,Val di Mazara,unknown,Palermo
http://www.geonames.org/maps/google_38.05_14.867.html,,Massîni (unknown),0.0,Abbey,,,Saint Anne,associated_modern,1178-1179,1179,Saint Anne of Messina,"Garufi, Carlo Alberto. I documenti inediti dell'epoca normanna in Sicilia. Palermo: Lo Statuto, 1899. pp. 88-89, 166-167|White, Lynn. Latin Monasticism in Norman Sicily. Cambridge, Mass. :: Mediaeval Academy of America Ann Arbor, Michigan: MPublishing, University of Michigan Library, 1938. http://hdl.handle.net/2027/heb.30929. pp. 41",Ola Grafeos,monastery,Sant'Anna di Messina,15.5533274,Messina,abbey,,documentary,draft,Reign of King William II,38.1808393,Basilian,unknown,1,Female,1178,Val Demone,unknown,Messina
http://www.geonames.org/maps/google_37.383_13.267.html,,Anf 'an Nahr (unknown)|Capobianco (unknown)|Monforte (unknown),0.0,Abbey,,,Saint Anne,associated_modern,1131,1131,Saint Anne of Monteforte,"White, Lynn. Latin Monasticism in Norman Sicily. Cambridge, Mass. :: Mediaeval Academy of America Ann Arbor, Michigan: MPublishing, University of Michigan Library, 1938. http://hdl.handle.net/2027/heb.30929. pp. 41",,monastery,Sant'Anna di Monforte,13.273087,Capo Bianco?,abbey,"Luigi Santagati, _Viabilità e topografia della Sicilia antica_, vol. 2 (Caltanissetta, 2013), 71 (s.v. ""Capobianco""), places Monforte between Sciacca and Siculiana.",documentary,draft,Reign of King Roger II,37.389294,Basilian,unknown,,Male,1131,Val di Mazara,unknown,Agrigento?
http://www.geonames.org/maps/google_38.155_14.83.html,,Voah (unknown)|Voab (unknown)|Vohab (unknown)|Marsâ Dalîah (unknown),411.0,Abbey,,,Saint Michael the Archangel,representative,1084,1084,Saint Michael Archangel of Brolo,"Garufi, Carlo Alberto. I documenti inediti dell'epoca normanna in Sicilia. Palermo: Lo Statuto, 1899. pp. 1-7|White, Lynn. Latin Monasticism in Norman Sicily. Cambridge, Mass. :: Mediaeval Academy of America Ann Arbor, Michigan: MPublishing, University of Michigan Library, 1938. http://hdl.handle.net/2027/heb.30929. pp. 41",Count Roger I (Male),monastery,San Michele Arcangelo di Brolo,14.887604,Brolo,abbey,,"documentary, archaeological",draft,Norman Conquest of Sicily,38.110529,Basilian,generic_handheld_gps,2,Male,1084,Val Demone,unknown,Messina
http://www.geonames.org/maps/google_38.072_14.701.html,,l'Agathyrnum (unknown)|l'Agathinon (unknown)|Qal'at-Sciant-Marku (unknown)|Castrum Sancti Mauri (unknown)|Castrum Marci (unknown),0.0,Abbey,,,Saint Barbarus,associated_modern,before 1109,1109,Saint Barbarus of San Marco,"White, Lynn. Latin Monasticism in Norman Sicily. Cambridge, Mass. :: Mediaeval Academy of America Ann Arbor, Michigan: MPublishing, University of Michigan Library, 1938. http://hdl.handle.net/2027/heb.30929. pp. 41",,monastery,San Barbaro di San Marco,14.7005667,San Marco d'Alunzio,abbey,,documentary,draft,Regency of Countess Adelasia,38.0728323,Basilian,unknown,2,Male,,Val Demone,unknown,Messina
http://www.geonames.org/maps/google_38.123_14.787.html,,Nasa (unknown)|Nasus (unknown),0.0,Abbey,,,Saint Basil,associated_modern,1080,1080,Saint Basil of Naso,"White, Lynn. Latin Monasticism in Norman Sicily. Cambridge, Mass. :: Mediaeval Academy of America Ann Arbor, Michigan: MPublishing, University of Michigan Library, 1938. http://hdl.handle.net/2027/heb.30929. pp. 41",,monastery,San Basilio di Naso,14.78688,Naso,abbey,,documentary,draft,Norman Conquest of Sicily,38.1222117,Basilian,unknown,2,Male,1080,Val Demone,unknown,Messina
